Aleph system no.,Author_reconciliation_status,Author_Wikidata_label,Author_Wikidata_QID,Other_authors_structure,Other_personal_authors_clean,Author_review_status,Author_death_year,Author_birth_year,Author_name_clean,Title_clean,Country code,Language code (008),Language code (041),DDC,Personal author,Corporate author,Title,Edition,Imprint,Imprint_clean,Place_after_colon,Publisher_candidate,Publisher_standardised,Publisher_clean,Publisher_role,Place_before_colon,Publication_place_final,Place_QA_status,Place_for_Wikidata,Wikidata_QID_manual_sample,Publication_place,Publication_place_standardised,Year_end,Year_start,Year_status,Publication_year,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre
014603008,matched,Charles Dibdin,Q1064116,,,standardised,1814,1745,"Dibdin, Charles","[Britons strike home.] Songs &c. in Britons strike home. A new entertainment of Sans Souci. Written, composed, spoken, sung, and accompanied by Mr. Dibdin.",|||,und,,,"Dibdin, Charles, 1745-1814.",,"[Britons strike home.] Songs &c. in Britons strike home. A new entertainment of Sans Souci. Written, composed, spoken, sung, and accompanied by Mr. Dibdin. [electronic resource]",,"[London : The Author, 1803.].","[London : The Author, 1803.].",The Author,The Author,The Author,The Author,Author/self-publication statement,London,London,Likely clean single place,London,Q84,London,London,,1803,Exact,1803,,,,,lsidyv2eb388b3,song,Music
014603017,none,,,,,unchanged,,,"HASTINGS, Mark.","Mark Hastings' Radical Songs for Working Men, etc.",|||,und,,,"HASTINGS, Mark.",,"Mark Hastings' Radical Songs for Working Men, etc. [electronic resource]",,"Hull : E. Wing & Son, 1885.","Hull : E. Wing & Son, 1885.",E. Wing & Son,E. Wing & Son,E. Wing & Son,E. Wing & Son,Named publisher or ambiguous,Hull,Hull,Likely clean single place,Hull,,Hull,Hull,,1885,Exact,1885,,,,,lsidyv2eb35911,song,Music
014603025,none,,,,,unchanged,,,"LINN, Harry.",[Harry Linn's Fire-Side Song Book.],|||,und,,,"LINN, Harry.",,[Harry Linn's Fire-Side Song Book.] [electronic resource],[Another edition.],[1887.],[1887.],,,,,Missing,,,Missing,,,,,,1887,Supplied,1887,,,,,lsidyv2eb31987,song,Music
014603026,matched,Albert Löwy,Q18756563,,,unchanged,,,"LOEWY, Albert.","מדת ימינו, שירת דודים לאחי ורעי Das Maass unserer Lebenstage. In sinngetreuer Übertragung des hebräischen Gedichtes. The Measure of our Days. A tri-lingual song, etc. Heb., Germ. & Eng.",|||,und,,,"LOEWY, Albert.",,"מדת ימינו, שירת דודים לאחי ורעי Das Maass unserer Lebenstage. In sinngetreuer Übertragung des hebräischen Gedichtes. The Measure of our Days. A tri-lingual song, etc. Heb., Germ. & Eng. [electronic resource]",,"London, 1897.","London, 1897.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1897,Exact,1897,,,,,lsidyv2eb345c3,song,Music
014603035,none,,,,,unchanged,,,"POTTER, R., of Scarning.","The Oracle concerning Babylon, and the Song of Exultation, from Isaiah, chap. xiii. and xiv., etc. [In verse.]",|||,und,,,"POTTER, R., of Scarning.",,"The Oracle concerning Babylon, and the Song of Exultation, from Isaiah, chap. xiii. and xiv., etc. [In verse.] [electronic resource]",,"London : G. and T. Wilkie, 1785.","London : G. and T. Wilkie, 1785.",G. and T. Wilkie,G. and T. Wilkie,G. and T. Wilkie,G. and T. Wilkie,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1785,Exact,1785,,,,,lsidyv2eb34991,song,Music
014603252,none,,,,,unchanged,,,"FROME, Samuel Blake.","The songs, odes, ballads, duets, and glees, in an opera, entitled: Sketches from life; or, The wandering Bard.",|||,und,,,"FROME, Samuel Blake.",,"The songs, odes, ballads, duets, and glees, in an opera, entitled: Sketches from life; or, The wandering Bard. [electronic resource]",,"London, 1809.","London, 1809.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1809,Exact,1809,,,,,lsidyv2eb3f6c6,opera,Music
014603271,matched,Alexander Pope,Q164047,single or unclear,"VIEILH DE BOISJOLIN, Jacques François Marie.",standardised,1744,1688,"Pope, Alexander","Windsor Forest by Alexander Pope, Esq. With a French translation by M. Viel de Boisjolin. New Song of Old Time, by M. De Segur, with the English translation by M. L. C. Esq. Cato's Soliloquy with the French translation by Major Howell. Henry the Fourth's Soliloquy with the French translation, also by Major Howell. [The translations in verse.]",|||,und,,,"Pope, Alexander, 1688-1744.",,"Windsor Forest by Alexander Pope, Esq. With a French translation by M. Viel de Boisjolin. New Song of Old Time, by M. De Segur, with the English translation by M. L. C. Esq. Cato's Soliloquy with the French translation by Major Howell. Henry the Fourth's Soliloquy with the French translation, also by Major Howell. [The translations in verse.] [electronic resource]",,"London, 1799.","London, 1799.",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1799,Exact,1799,,,"VIEILH DE BOISJOLIN, Jacques François Marie.",,lsidyv2eb452e7,song,Music
014603274,matched,William Shakespeare,Q692,,,standardised,1616,1564,"Shakespeare, William","The Fairies. An opera, taken from A Midsummer Night's Dream ... As it is performed at the Theatre-Royal in Drury Lane. The songs from Shakespear, Milton, Waller, Dryden, Lansdown, Hammond, etc. [By David Garrick.]",|||,und,,,"Shakespeare, William, 1564-1616",,"The Fairies. An opera, taken from A Midsummer Night's Dream ... As it is performed at the Theatre-Royal in Drury Lane. The songs from Shakespear, Milton, Waller, Dryden, Lansdown, Hammond, etc. [By David Garrick.] [electronic resource]",,"London : J. & R. Tonson & S. Draper, 1755.","London : J. & R. Tonson & S. Draper, 1755.",J. & R. Tonson & S. Draper,J. & R. Tonson & S. Draper,J. & R. Tonson & S. Draper,J. & R. Tonson & S. Draper,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1755,Exact,1755,,,,,lsidyv2eb3be9b,opera,Music
014603275,matched,William Shakespeare,Q692,single or unclear,"Garrick, David, 1717-1779.",standardised,1616,1564,"Shakespeare, William",The Tempest; an opera taken [by David Garrick] from Shakespear. As it is performed at the Theatre-Royal in Drury Lane.,|||,und,,,"Shakespeare, William, 1564-1616",,The Tempest; an opera taken [by David Garrick] from Shakespear. As it is performed at the Theatre-Royal in Drury Lane. [electronic resource],,"London : J. & R. Tonson, 1756.","London : J. & R. Tonson, 1756.",J. & R. Tonson,J. & R. Tonson,J. & R. Tonson,J. & R. Tonson,Named publisher or ambiguous,London,London,Likely clean single place,London,Q84,London,London,,1756,Exact,1756,,,"Garrick, David, 1717-1779.",,lsidyv2eb3c3cc,opera,Music
014603328,blank,,,,,missing,,,,"Pills to expel Spleen, or a cure for the vapours: containing a collection of miscellaneous poems, &c. particularly some verses on the ... death of ... the Prince of Wales, and a satyrick song made on a noted Vintner on S. H., etc.",|||,und,,,,,"Pills to expel Spleen, or a cure for the vapours: containing a collection of miscellaneous poems, &c. particularly some verses on the ... death of ... the Prince of Wales, and a satyrick song made on a noted Vintner on S. H., etc. [electronic resource]",,"London, [1752?]","London, [1752?]",,,,,Missing,London,London,Likely clean single place,London,Q84,London,London,,1752,Uncertain,1752,,,,,lsidyv2eb67d27,song,Music
014603333,blank,,,single or unclear,"SAINT JOHN, John, Hon.",missing,,,,"The Island of St. Marguerite, an opera, in two acts. [By the Hon. John St. John.]",|||,und,,,,,"The Island of St. Marguerite, an opera, in two acts. [By the Hon. John St. John.] [electronic resource]",,"London : Printed for J. Debrett, 1789.","London : Printed for J. Debrett, 1789.",Printed for J. Debrett,Printed for J. Debrett,Printed for J. Debrett,Printed for J. Debrett,Printer statement,London,London,Likely clean single place,London,Q84,London,London,,1789,Exact,1789,,,"SAINT JOHN, John, Hon.",,lsidyv2eb84bcf,opera,Music
014603334,none,,,,,unchanged,,,"SAINT MAUR, Jane Anne Wilhelmina, Lady.","Sacred Songs, for the School at Teignrace.",|||,und,,,"SAINT MAUR, Jane Anne Wilhelmina, Lady.",,"Sacred Songs, for the School at Teignrace. [electronic resource]",,"Privately printed; London, 1836.","Privately printed; London, 1836.",,,,,Missing,Privately printed; London,Privately; London,Multiple places,Privately; London,,Privately; London,Privately; London,,1836,Exact,1836,,,,,lsidyv2eb7b7f3,song,Music
