Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal author,Author_review_status,Author_birth_year,Author_death_year,Author_name_clean,Author_reconciliation_status,Author_Wikidata_label,Author_Wikidata_QID,Corporate author,Title,Title_clean,Edition,Imprint,Series,Subjects,Other personal authors,Other_personal_authors_clean,Other_authors_structure,Other corporate authors,DOM ID,Type,Genre
014603026,|||,und,,,"LOEWY, Albert.",unchanged,,,Albert Löwy,matched,Albert Löwy,Q18756563,,"מדת ימינו, שירת דודים לאחי ורעי Das Maass unserer Lebenstage. In sinngetreuer Übertragung des hebräischen Gedichtes. The Measure of our Days. A tri-lingual song, etc. Heb., Germ. & Eng. [electronic resource]","מדת ימינו, שירת דודים לאחי ורעי Das Maass unserer Lebenstage. In sinngetreuer Übertragung des hebräischen Gedichtes. The Measure of our Days. A tri-lingual song, etc. Heb., Germ. & Eng.",,"London, 1897.",,,,,,,lsidyv2eb345c3,song,Music
014603035,|||,und,,,"POTTER, R., of Scarning.",unchanged,,,"POTTER, R., of Scarning.",none,,,,"The Oracle concerning Babylon, and the Song of Exultation, from Isaiah, chap. xiii. and xiv., etc. [In verse.] [electronic resource]","The Oracle concerning Babylon, and the Song of Exultation, from Isaiah, chap. xiii. and xiv., etc. [In verse.]",,"London : G. and T. Wilkie, 1785.",,,,,,,lsidyv2eb34991,song,Music
014603252,|||,und,,,"FROME, Samuel Blake.",unchanged,,,"FROME, Samuel Blake.",none,,,,"The songs, odes, ballads, duets, and glees, in an opera, entitled: Sketches from life; or, The wandering Bard. [electronic resource]","The songs, odes, ballads, duets, and glees, in an opera, entitled: Sketches from life; or, The wandering Bard.",,"London, 1809.",,,,,,,lsidyv2eb3f6c6,opera,Music
014603271,|||,und,,,"Pope, Alexander, 1688-1744.",standardised,1688,1744,Alexander Pope,matched,Alexander Pope,Q164047,,"Windsor Forest by Alexander Pope, Esq. With a French translation by M. Viel de Boisjolin. New Song of Old Time, by M. De Segur, with the English translation by M. L. C. Esq. Cato's Soliloquy with the French translation by Major Howell. Henry the Fourth's Soliloquy with the French translation, also by Major Howell. [The translations in verse.] [electronic resource]","Windsor Forest by Alexander Pope, Esq. With a French translation by M. Viel de Boisjolin. New Song of Old Time, by M. De Segur, with the English translation by M. L. C. Esq. Cato's Soliloquy with the French translation by Major Howell. Henry the Fourth's Soliloquy with the French translation, also by Major Howell. [The translations in verse.]",,"London, 1799.",,,"VIEILH DE BOISJOLIN, Jacques François Marie.","VIEILH DE BOISJOLIN, Jacques François Marie.",single or unclear,,lsidyv2eb452e7,song,Music
014603274,|||,und,,,"Shakespeare, William, 1564-1616",standardised,1564,1616,William Shakespeare,matched,William Shakespeare,Q692,,"The Fairies. An opera, taken from A Midsummer Night's Dream ... As it is performed at the Theatre-Royal in Drury Lane. The songs from Shakespear, Milton, Waller, Dryden, Lansdown, Hammond, etc. [By David Garrick.] [electronic resource]","The Fairies. An opera, taken from A Midsummer Night's Dream ... As it is performed at the Theatre-Royal in Drury Lane. The songs from Shakespear, Milton, Waller, Dryden, Lansdown, Hammond, etc. [By David Garrick.]",,"London : J. & R. Tonson & S. Draper, 1755.",,,,,,,lsidyv2eb3be9b,opera,Music
014603275,|||,und,,,"Shakespeare, William, 1564-1616",standardised,1564,1616,William Shakespeare,matched,William Shakespeare,Q692,,The Tempest; an opera taken [by David Garrick] from Shakespear. As it is performed at the Theatre-Royal in Drury Lane. [electronic resource],The Tempest; an opera taken [by David Garrick] from Shakespear. As it is performed at the Theatre-Royal in Drury Lane.,,"London : J. & R. Tonson, 1756.",,,"Garrick, David, 1717-1779.","Garrick, David, 1717-1779.",single or unclear,,lsidyv2eb3c3cc,opera,Music
014603328,|||,und,,,,missing,,,,blank,,,,"Pills to expel Spleen, or a cure for the vapours: containing a collection of miscellaneous poems, &c. particularly some verses on the ... death of ... the Prince of Wales, and a satyrick song made on a noted Vintner on S. H., etc. [electronic resource]","Pills to expel Spleen, or a cure for the vapours: containing a collection of miscellaneous poems, &c. particularly some verses on the ... death of ... the Prince of Wales, and a satyrick song made on a noted Vintner on S. H., etc.",,"London, [1752?]",,,,,,,lsidyv2eb67d27,song,Music
014603333,|||,und,,,,missing,,,,blank,,,,"The Island of St. Marguerite, an opera, in two acts. [By the Hon. John St. John.] [electronic resource]","The Island of St. Marguerite, an opera, in two acts. [By the Hon. John St. John.]",,"London : Printed for J. Debrett, 1789.",,,"SAINT JOHN, John, Hon.","SAINT JOHN, John, Hon.",single or unclear,,lsidyv2eb84bcf,opera,Music
014603334,|||,und,,,"SAINT MAUR, Jane Anne Wilhelmina, Lady.",unchanged,,,"SAINT MAUR, Jane Anne Wilhelmina, Lady.",none,,,,"Sacred Songs, for the School at Teignrace. [electronic resource]","Sacred Songs, for the School at Teignrace.",,"Privately printed; London, 1836.",,,,,,,lsidyv2eb7b7f3,song,Music
014603403,|||,und,,,,missing,,,,blank,,,,"Melancthon's Ride from Bristol to Oxford, or the Church of England as it was, as it is, and as it ought to be, with a short answer to the shorter Question. Where is Popery? By Misoschismaticos. [Satirical verses directed against the Anti-Tractarians of Bristol.] [electronic resource]","Melancthon's Ride from Bristol to Oxford, or the Church of England as it was, as it is, and as it ought to be, with a short answer to the shorter Question. Where is Popery? By Misoschismaticos. [Satirical verses directed against the Anti-Tractarians of Bristol.]",,"Bristol : Privately printed, [1840?].",,,,,,,lsidyv2eb93d65,opera,Music
014603445,|||,und,,,,missing,,,,blank,,,,Highland Tales and Songs. [electronic resource],Highland Tales and Songs.,,"Glasgow, 1817.",,,,,,,lsidyv2eba0f7c,song,Music
014605602,|||,und,,,,missing,,,,blank,,,,The Lilly Dale Songster. [electronic resource],The Lilly Dale Songster.,,"London, [1858.]",,,,,,,lsidyv306c0e21,song,Music
014605603,|||,und,,,,missing,,,,blank,,,,Some old Love Songs. With designs by A. Havers. [electronic resource],Some old Love Songs. With designs by A. Havers.,,"London, Germany, [printed : Hildesheimer & Faulkner, 1892.].",,,"HAVERS, Alice.","HAVERS, Alice.",single or unclear,,lsidyv3141102b,song,Music
014605605,|||,und,,,,missing,,,,blank,,,,"The Magpie; or, the Maid of Palaiseau. A melodramatic romance. In three acts ... Second edition. [An adaptation of “La Pie voleuse,” by L. C. Caigniez and J. M. T. Baudouin d'Aubigny.] [electronic resource]","The Magpie; or, the Maid of Palaiseau. A melodramatic romance. In three acts ... Second edition. [An adaptation of “La Pie voleuse,” by L. C. Caigniez and J. M. T. Baudouin d'Aubigny.]",,"London : John Murray, 1815.",,,"Aubigny, M. d' -- CAIGNIEZ, Louis Charles, and BAUDOUIN D'AUBIGNY (Jean Marie Théodore)","Aubigny, M. d' -- CAIGNIEZ, Louis Charles, and BAUDOUIN D'AUBIGNY (Jean Marie Théodore)",multiple: dash + and,,lsidyv30134148,melody,Music
014605606,|||,und,,,"MILLER, Thomas, Miscellaneous Writer.",unchanged,,,"MILLER, Thomas, Miscellaneous Writer.",none,,,,Songs of the Seasons for my Children. Illustrated [by Birket Foster and Sir J. Gilbert]. [electronic resource],Songs of the Seasons for my Children. Illustrated [by Birket Foster and Sir J. Gilbert].,,"London, 1865.",,,"FOSTER, Birket. -- Gilbert, John, Sir, 1817-1897.","FOSTER, Birket. -- Gilbert, John, Sir, 1817-1897.",multiple: dash,,lsidyv30678840,song,Music
014605607,|||,und,,,,missing,,,,blank,,,,"Musick; or, a parley of instruments. [Songs, etc.] The first part. [electronic resource]","Musick; or, a parley of instruments. [Songs, etc.] The first part.",,"London, 1676.",,,,,,,lsidyv313e3142,song,Music
014605610,|||,und,,,"PINDER, Thomas.",unchanged,,,"PINDER, Thomas.",unreconciled,,,,Pinder's Yorkshire Pocket Song Book. no. 1. [electronic resource],Pinder's Yorkshire Pocket Song Book. no. 1.,,"Leeds : T. Pinder, [1884.].",,,,,,,lsidyv306f756f,song,Music
014605616,|||,und,,,,missing,,,,blank,,,,The Real Sensation Song Book for 1862. [electronic resource],The Real Sensation Song Book for 1862.,,"[London, 1862.]",,,,,,,lsidyv30633105,song,Music
014605621,|||,und,,,"TALLEY, William.",unchanged,,,"TALLEY, William.",none,,,,"The New Windsor Comic Songster ... By W. Talley, ... aided by his Wife (Eliza Talley). [electronic resource]","The New Windsor Comic Songster ... By W. Talley, ... aided by his Wife (Eliza Talley).",,"[Windsor,], 1872.",,,"TALLEY, Eliza.","TALLEY, Eliza.",single or unclear,,lsidyv3067c8f8,song,Music
014605629,|||,und,,,"Burns, Robert, 1759-1796",standardised,1759,1796,Robert Burns,matched,Robert Burns,Q81960,,"Festival in commemoration of Robert Burns, and to promote a subscription to erect a national monument to his memory at Edinburgh: held ... in London ... May 5, 1819, etc. [A list of toasts and words of songs sung at the dinner.] [electronic resource]","Festival in commemoration of Robert Burns, and to promote a subscription to erect a national monument to his memory at Edinburgh: held ... in London ... May 5, 1819, etc. [A list of toasts and words of songs sung at the dinner.]",,"London : B. McMillan, 1819.",,,,,,,lsidyv314e2e8a,song,Music
014605639,|||,und,,,"Collier, John Payne, 1789-1883",standardised,1789,1883,John Payne Collier,matched,John Payne Collier,Q2580079,,"Twenty-five Old Ballads and Songs: from manuscripts in the possession of J. P. Collier, etc. [Edited by J. P. Collier.] [electronic resource]","Twenty-five Old Ballads and Songs: from manuscripts in the possession of J. P. Collier, etc. [Edited by J. P. Collier.]",,"London : Printed for private circulation, 1869.",,,,,,,lsidyv3083e9e1,song,Music
014605658,|||,und,,,,missing,,,,blank,,,Society of Friends of Foreigners in Distress.,"Songs, duets, etc. in the grand miscellaneous concert at the King's Theatre on ... June the 3d, 1814 for the benefit of the Society of Friends of Foreigners in distress. [electronic resource]","Songs, duets, etc. in the grand miscellaneous concert at the King's Theatre on ... June the 3d, 1814 for the benefit of the Society of Friends of Foreigners in distress.",,"London, [1814.]",,,,,,,lsidyv32b5a831,song,Music
014605665,|||,und,,,"MORRIS, Charles, Captain.",unchanged,,,"MORRIS, Charles, Captain.",none,,,,"The Songs by Captain Morris, complete. The thirteenth edition, with additions. [electronic resource]","The Songs by Captain Morris, complete. The thirteenth edition, with additions.",,"London, 1793.",,,,,,,lsidyv314e5b7b,song,Music
014605684,|||,und,,,,missing,,,,blank,,,,The Tasmanian Songster. Third edition. [electronic resource],The Tasmanian Songster. Third edition.,,"[Hobart : M. Hornsby, 1868?].",,,,,,,lsidyv32b5a798,song,Music
014605687,|||,und,,,,missing,,,,blank,,,,The Old Dog Tray Songster. [electronic resource],The Old Dog Tray Songster.,,"London, [1858.]",,,,,,,lsidyv3074808c,song,Music
014608190,|||,und,,,"Dibdin, Charles, 1745-1814.",standardised,1745,1814,Charles Dibdin,matched,Charles Dibdin,Q1064116,,The Chelsea Pensioner: a comic opera in two acts. [By Charles Dibdin.] [electronic resource],The Chelsea Pensioner: a comic opera in two acts. [By Charles Dibdin.],,"London : G. Kearsley, 1779.",,,,,,,lsidyv3162011b,opera,Music
