Aleph system no.,Country code,Language code (008),Language code (041),Imprint,Imprint_clean,Publisher_clean,Publisher_role,Publication_place_final,Place_QA_status,Wikidata_QID_manual_sample,Year_end,Year_start,Year_status,Publication_year,DOM ID
14628967,|||,und,,"Belfast : “Belfast News-Letter�?Book Printing House, [1891.].","Belfast : “Belfast News-Letter�?Book Printing House, [1891.].",“Belfast News-Letter�?Book Printing House,Named publisher or ambiguous,Belfast,Likely clean single place,,,1891,Supplied,1891,lsidyv31875c05
14628970,|||,und,,"London : J. Forbes, [1792.].","London : J. Forbes, [1792.].",J. Forbes,Named publisher or ambiguous,London,Likely clean single place,Q84,,1792,Supplied,1792,lsidyv398d0bd4
14635254,|||,und,,"Napoli, 1821.","Napoli, 1821.",,Missing,Napoli,Likely clean single place,,,1821,Exact,1821,lsidyv2af003b0
14635258,|||,und,,"London : The Author, 1786.","London : The Author, 1786.",The Author,Author/self-publication statement,London,Likely clean single place,Q84,,1786,Exact,1786,lsidyv3035631a
14635265,|||,und,,[1890.],[1890.],,Missing,,Missing,,,1890,Supplied,1890,lsidyv2af0b50f
14635279,|||,und,,"Boston : B. F. Wood Music Co., [1893.].","Boston : B. F. Wood Music Co., [1893.].",B. F. Wood Music Co.,Named publisher or ambiguous,Boston,Likely clean single place,,,1893,Supplied,1893,lsidyv2af0bc53
14635281,|||,und,,"London : Longman & Co., 1808.","London : Longman & Co., 1808.",Longman & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1808,Exact,1808,lsidyv314dd1a8
14635286,|||,und,,"London : T. Cadell, 1786.","London : T. Cadell, 1786.",T. Cadell,Named publisher or ambiguous,London,Likely clean single place,Q84,,1786,Exact,1786,lsidyv3a57f908
14635311,|||,und,,"London : The Author, 1817.","London : The Author, 1817.",The Author,Author/self-publication statement,London,Likely clean single place,Q84,,1817,Exact,1817,lsidyv3a25152e
14635323,|||,und,,"Lincoln : Keyworth & Sons, [1896.].","Lincoln : Keyworth & Sons, [1896.].",Keyworth & Sons,Named publisher or ambiguous,Lincoln,Likely clean single place,,,1896,Supplied,1896,lsidyv3a588cf1
14635331,|||,und,,"London : The Author, [1802.].","London : The Author, [1802.].",The Author,Author/self-publication statement,London,Likely clean single place,Q84,,1802,Supplied,1802,lsidyv39e7297a
14635332,|||,und,,"[41]. London, 1773.","[41]. London, 1773.",,Missing,41]. London,Likely clean single place,,,1773,Exact,1773,lsidyv3a5378de
14635333,|||,und,,"London : Appleyards, [1808.].","London : Appleyards, [1808.].",Appleyards,Named publisher or ambiguous,London,Likely clean single place,Q84,,1808,Supplied,1808,lsidyv306fb8b2
14635334,|||,und,,"London : Barker & Son, 1807.","London : Barker & Son, 1807.",Barker & Son,Named publisher or ambiguous,London,Likely clean single place,Q84,,1807,Exact,1807,lsidyv3143f959
14635357,|||,und,,"W. Strahan, etc. : London, 1774.","W. Strahan, etc. : London, 1774.",London,Named publisher or ambiguous,"W. Strahan, etc.",Review: comma-separated,,,1774,Exact,1774,lsidyv314c3262
14635361,|||,und,,"London, 1872.","London, 1872.",,Missing,London,Likely clean single place,Q84,,1872,Exact,1872,lsidyv39f53140
14635365,|||,und,,"London : Chiswick Press, 1818.","London : Chiswick Press, 1818.",Chiswick Press,Named publisher or ambiguous,London,Likely clean single place,Q84,,1818,Exact,1818,lsidyv31612a2f
14635376,|||,und,,"London, [1750?]","London, [1750?]",,Missing,London,Likely clean single place,Q84,,1750,Uncertain,1750,lsidyv314c9fbc
14635377,|||,und,,"London, [1857.]","London, [1857.]",,Missing,London,Likely clean single place,Q84,,1857,Supplied,1857,lsidyv39f25e10
14635392,|||,und,,"London, 1811.","London, 1811.",,Missing,London,Likely clean single place,Q84,,1811,Exact,1811,lsidyv307d9706
14635404,|||,und,,"London, [1808?]","London, [1808?]",,Missing,London,Likely clean single place,Q84,,1808,Uncertain,1808,lsidyv30709ab3
14635429,|||,und,,"London, 1785.","London, 1785.",,Missing,London,Likely clean single place,Q84,,1785,Exact,1785,lsidyv308faca3
14635444,|||,und,,"London, 1788.","London, 1788.",,Missing,London,Likely clean single place,Q84,,1788,Exact,1788,lsidyv31ab110a
14635458,|||,und,,"[London?], 1834.","[London?], 1834.",,Missing,London?],Likely clean single place,,,1834,Exact,1834,lsidyv2aeefde2
14635476,|||,und,,"London, 1807.","London, 1807.",,Missing,London,Likely clean single place,Q84,,1807,Exact,1807,lsidyv306c2b39
14635479,|||,und,,"London, 1748.","London, 1748.",,Missing,London,Likely clean single place,Q84,,1748,Exact,1748,lsidyv307c250a
14635502,|||,und,,"London, 1780.","London, 1780.",,Missing,London,Likely clean single place,Q84,,1780,Exact,1780,lsidyv315c5068
14635510,|||,und,,"London : J. Newbery, 1751.","London : J. Newbery, 1751.",J. Newbery,Named publisher or ambiguous,London,Likely clean single place,Q84,,1751,Exact,1751,lsidyv2aef3100
14635522,|||,und,,"London, [1860.]","London, [1860.]",,Missing,London,Likely clean single place,Q84,,1860,Supplied,1860,lsidyv39f385ea
14635541,|||,und,,"[Edinburgh, 1866.]","[Edinburgh, 1866.]",,Missing,Edinburgh,Likely clean single place,Q23436,,1866,Exact,1866,lsidyv2af05080
14635547,|||,und,,"London, 1776.","London, 1776.",,Missing,London,Likely clean single place,Q84,,1776,Exact,1776,lsidyv307b6e2e
14635549,|||,und,,"London, 1781.","London, 1781.",,Missing,London,Likely clean single place,Q84,,1781,Exact,1781,lsidyv31b15b09
14635561,|||,und,,"Leeds : Nutt & Co., [1896.].","Leeds : Nutt & Co., [1896.].",Nutt & Co.,Named publisher or ambiguous,Leeds,Likely clean single place,Q39121,,1896,Supplied,1896,lsidyv2af0bd3e
14643313,|||,und,,"London : Longmans & Co., 1887.","London : Longmans & Co., 1887.",Longmans & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1887,Exact,1887,lsidyv3a9e3dd4
14643323,|||,und,,"London : Jonas Brown, 1716.","London : Jonas Brown, 1716.",Jonas Brown,Named publisher or ambiguous,London,Likely clean single place,Q84,,1716,Exact,1716,lsidyv3a925fef
14643355,|||,und,,"[London : W. B. Ford, 1857.].","[London : W. B. Ford, 1857.].",W. B. Ford,Named publisher or ambiguous,London,Likely clean single place,Q84,,1857,Exact,1857,lsidyv3a8ad7e6
14643381,|||,und,,"[London, 1878.]","[London, 1878.]",,Missing,London,Likely clean single place,Q84,,1878,Exact,1878,lsidyv3abf106e
14643402,|||,und,,"[H. B. Gates: Stanstead, Quebec, 1898.]","[H. B. Gates : Stanstead, Quebec, 1898.]","Stanstead, Quebec",Named publisher or ambiguous,H. B. Gates,Likely clean single place,,,1898,Exact,1898,lsidyv3a99d31a
14643420,|||,und,,"London; Nuremberg printed : E. Nister, [1894.].","London; Nuremberg printed : E. Nister, [1894.].",E. Nister,Named publisher or ambiguous,London; Nuremberg,Multiple places,,,1894,Supplied,1894,lsidyv3a98b79a
14643437,|||,und,,"[London : J. Brettell, 1810?].","[London : J. Brettell, 1810?].",J. Brettell,Named publisher or ambiguous,London,Likely clean single place,Q84,,1810,Uncertain,1810,lsidyv3a99033a
14643438,|||,und,,"London : Masters & Co., 1883.","London : Masters & Co., 1883.",Masters & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1883,Exact,1883,lsidyv3a99b4c1
14643445,|||,und,,"London; Nuremberg printed : E. Nister, [1894.].","London; Nuremberg printed : E. Nister, [1894.].",E. Nister,Named publisher or ambiguous,London; Nuremberg,Multiple places,,,1894,Supplied,1894,lsidyv3a98b701
14643447,|||,und,,"[London?] : Privately printed, 1819.","[London?] : Privately printed, 1819.",Privately printed,Printer statement,London?],Likely clean single place,,,1819,Exact,1819,lsidyv3a8acc82
14643449,|||,und,,"London, 1847.","London, 1847.",,Missing,London,Likely clean single place,Q84,,1847,Exact,1847,lsidyv3abefb91
14643461,|||,und,,"London : Novello & Co., [1885.].","London : Novello & Co., [1885.].",Novello & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1885,Supplied,1885,lsidyv3a9748ac
14643526,|||,und,,"London, 1810.","London, 1810.",,Missing,London,Likely clean single place,Q84,,1810,Exact,1810,lsidyv3a8c5741
14643530,|||,und,,"London, 1750.","London, 1750.",,Missing,London,Likely clean single place,Q84,,1750,Exact,1750,lsidyv3a9fdf89
14643545,|||,und,,"[London] : J. Roberts, 1732.","[London] : J. Roberts, 1732.",J. Roberts,Named publisher or ambiguous,London,Likely clean single place,Q84,,1732,Exact,1732,lsidyv3abe4eaf
14643613,enk,eng,,"The Author : London, [1804].","The Author : London, [1804].",London,Named publisher or ambiguous,The Author,Likely clean single place,,,1804,Supplied,1804,lsidyv3a97694c
14643614,|||,und,,"London; Nuremberg printed : E. Nister, [1894.].","London; Nuremberg printed : E. Nister, [1894.].",E. Nister,Named publisher or ambiguous,London; Nuremberg,Multiple places,,,1894,Supplied,1894,lsidyv3a98bb93
14643624,|||,und,,"London, 1770.","London, 1770.",,Missing,London,Likely clean single place,Q84,,1770,Exact,1770,lsidyv3a9a2395
14750936,|||,eng,,"London, 1818.","London, 1818.",,Missing,London,Likely clean single place,Q84,,1818,Exact,1818,lsidyv306bd8b5
14750948,|||,eng,,"London : Woodford, Fawcett & Co., [1889]","London : Woodford, Fawcett & Co., [1889]","Woodford, Fawcett & Co.",Named publisher or ambiguous,London,Likely clean single place,Q84,,1889,Supplied,1889,lsidyv30794b2a
14756181,|||,eng,,"Bayonne, 1836.","Bayonne, 1836.",,Missing,Bayonne,Likely clean single place,,,1836,Exact,1836,lsidyv3bfa0620
14756366,|||,eng,,"London : W. Fawcett & Co., [1891.].","London : W. Fawcett & Co., [1891.].",W. Fawcett & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1891,Supplied,1891,lsidyv3c0f3b42
14767507,|||,eng,,"Leeds : [The Author], 1868.","Leeds : [The Author], 1868.",The Author,Author/self-publication statement,Leeds,Likely clean single place,Q39121,,1868,Exact,1868,lsidyv3c3a9e34
14767549,|||,eng,,"Richmond : R. A. Darnill, 1890.","Richmond : R. A. Darnill, 1890.",R. A. Darnill,Named publisher or ambiguous,Richmond,Likely clean single place,,,1890,Exact,1890,lsidyv3c36d333
14767670,|||,eng,,"Norwich : R. Lane, [1818]","Norwich : R. Lane, [1818]",R. Lane,Named publisher or ambiguous,Norwich,Likely clean single place,,,1818,Supplied,1818,lsidyv3c25c519
14767697,|||,eng,,"Doncaster : Printed for the Author, 1856.","Doncaster : Printed for the Author, 1856.",Printed for the Author,Printer statement,Doncaster,Likely clean single place,,,1856,Exact,1856,lsidyv3c3d4804
14767892,|||,eng,,"Leeds : Hobson and Smiles, 1841.","Leeds : Hobson and Smiles, 1841.",Hobson and Smiles,Named publisher or ambiguous,Leeds,Likely clean single place,Q39121,,1841,Exact,1841,lsidyv3c347a87
14768095,|||,eng,,"London : Manning & Mason, 1838.","London : Manning & Mason, 1838.",Manning & Mason,Named publisher or ambiguous,London,Likely clean single place,Q84,,1838,Exact,1838,lsidyv3c38c2dc
14768173,|||,eng,,"London, 1863.","London, 1863.",,Missing,London,Likely clean single place,Q84,,1863,Exact,1863,lsidyv3c2ef36e
14768208,|||,eng,,"London : Printed by J. E. Adlard, 1855.","London : Printed by J. E. Adlard, 1855.",Printed by J. E. Adlard,Printer statement,London,Likely clean single place,Q84,,1855,Exact,1855,lsidyv3c3d47b3
14774021,|||,und,,"London : T. Cadell, 1788.","London : T. Cadell, 1788.",T. Cadell,Named publisher or ambiguous,London,Likely clean single place,Q84,,1788,Exact,1788,lsidyv3a57fa3d
14774056,|||,und,,"London, 1829.","London, 1829.",,Missing,London,Likely clean single place,Q84,,1829,Exact,1829,lsidyv338ff16e
14774076,|||,und,,"London : Chappell & Co., [1893.].","London : Chappell & Co., [1893.].",Chappell & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1893,Supplied,1893,lsidyv34ebc7a3
14774077,|||,und,,"London : Chappell & Co., [1888.].","London : Chappell & Co., [1888.].",Chappell & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1888,Supplied,1888,lsidyv34ebbbaf
14774126,|||,und,,"London, 1733.","London, 1733.",,Missing,London,Likely clean single place,Q84,,1733,Exact,1733,lsidyv3a8ada05
14774175,|||,und,,"London, 1814.","London, 1814.",,Missing,London,Likely clean single place,Q84,,1814,Exact,1814,lsidyv34ec2911
14774179,|||,und,,"Boston [Mass.] : O. Ditson, 1844.","Boston [Mass.] : O. Ditson, 1844.",O. Ditson,Named publisher or ambiguous,Boston [Mass.],Likely clean single place,,,1844,Exact,1844,lsidyv346a2fb0
14774185,|||,und,,"pp. 121. William Briggs: Toronto, 1900.","pp. 121. William Briggs : Toronto, 1900.",Toronto,Named publisher or ambiguous,pp. 121. William Briggs,Likely clean single place,,,1900,Exact,1900,lsidyv3479430b
14774212,|||,und,,"Dublin : Powderly & Co., 1893.","Dublin : Powderly & Co., 1893.",Powderly & Co.,Named publisher or ambiguous,Dublin,Likely clean single place,Q1761,,1893,Exact,1893,lsidyv318fce68
14774230,|||,und,,"Dublin : Swan & Co., 1892.","Dublin : Swan & Co., 1892.",Swan & Co.,Named publisher or ambiguous,Dublin,Likely clean single place,Q1761,,1892,Exact,1892,lsidyv32c9313e
14774236,|||,eng,,"London : T. F. Unwin, 1894.","London : T. F. Unwin, 1894.",T. F. Unwin,Named publisher or ambiguous,London,Likely clean single place,Q84,,1894,Exact,1894,lsidyv3bf95ee4
14803665,|||,und,,"Leeds : R. Jackson, 1896.","Leeds : R. Jackson, 1896.",R. Jackson,Named publisher or ambiguous,Leeds,Likely clean single place,Q39121,,1896,Exact,1896,lsidyv306bd689
14803824,|||,und,,"Bombay, 1884.","Bombay, 1884.",,Missing,Bombay,Likely clean single place,,,1884,Exact,1884,lsidyv3abf4382 -- lsidyv34eca94e
14803841,|||,und,,"Newcastle-upon-Tyne : T. & G. Allan, 1891.","Newcastle-upon-Tyne : T. & G. Allan, 1891.",T. & G. Allan,Named publisher or ambiguous,Newcastle-upon-Tyne,Likely clean single place,,,1891,Exact,1891,lsidyv2aef84f2
14803842,|||,und,,"Sunderland : Hills & Co., 1890.","Sunderland : Hills & Co., 1890.",Hills & Co.,Named publisher or ambiguous,Sunderland,Likely clean single place,,,1890,Exact,1890,lsidyv3475a673
14803916,|||,eng,,"[Glasgow : Leisler, Bock & Co., 1893]","[Glasgow : Leisler, Bock & Co., 1893]","Leisler, Bock & Co.",Named publisher or ambiguous,Glasgow,Likely clean single place,Q4093,,1893,Exact,1893,lsidyv3cc3b642
14803920,|||,ita,,"Milano, [1868-1880?]","Milano, [1868-1880?]",,Missing,"Milano, [1868-",Review: comma-separated,,1880,1868,Uncertain,1880,lsidyv3dbf116e -- lsidyv3dc6d49b -- lsidyv36077a53 -- lsidyv3e71f253 -- lsidyv3dbc44ff -- lsidyv3dbc2dc8 -- lsidyv3639c085 -- lsidyv3dbc6468 -- lsidyv363fdc97 -- lsidyv363fed95
14803936,|||,eng,,"Philadelphia : Carey, Lea & Blanchard, 1838.","Philadelphia : Carey, Lea & Blanchard, 1838.","Carey, Lea & Blanchard",Named publisher or ambiguous,Philadelphia,Likely clean single place,,,1838,Exact,1838,lsidyv3bf37f4c -- lsidyv3bf385dc
14803946,|||,eng,,"London : Henry Colburn, 1828.","London : Henry Colburn, 1828.",Henry Colburn,Named publisher or ambiguous,London,Likely clean single place,Q84,,1828,Exact,1828,lsidyv38f9ad5c
14804039,|||,eng,,"Selkirk : J. Lewis, 1894.","Selkirk : J. Lewis, 1894.",J. Lewis,Named publisher or ambiguous,Selkirk,Likely clean single place,,,1894,Exact,1894,lsidyv3c40a3cf
14804045,|||,und,,"London : D. Nutt, 1899.","London : D. Nutt, 1899.",D. Nutt,Named publisher or ambiguous,London,Likely clean single place,Q84,,1899,Exact,1899,lsidyv34fa147f
14804149,|||,und,,"London : J. M. Dent & Co., 1896.","London : J. M. Dent & Co., 1896.",J. M. Dent & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1896,Exact,1896,lsidyv3479ca23
14804221,|||,und,,"New York, London : Funk & Wagnalls, 1885.","New York, London : Funk & Wagnalls, 1885.",Funk & Wagnalls,Named publisher or ambiguous,London & New York,Multiple places,,,1885,Exact,1885,lsidyv32cc15c6
14804222,|||,und,,"London : H. E. Jerrard, 1885.","London : H. E. Jerrard, 1885.",H. E. Jerrard,Named publisher or ambiguous,London,Likely clean single place,Q84,,1885,Exact,1885,lsidyv3499364c
14804298,|||,und,,"pp. xii. 199. Elliot Stock: London, 1899.","pp. xii. 199. Elliot Stock : London, 1899.",London,Named publisher or ambiguous,pp. xii. 199. Elliot Stock,Likely clean single place,,,1899,Exact,1899,lsidyv395c8744
14804396,|||,und,,"London : C. F. Hodgson, [1858.].","London : C. F. Hodgson, [1858.].",C. F. Hodgson,Named publisher or ambiguous,London,Likely clean single place,Q84,,1858,Supplied,1858,lsidyv3472089d
14804435,|||,und,,"London : David Bogue, 1881.","London : David Bogue, 1881.",David Bogue,Named publisher or ambiguous,London,Likely clean single place,Q84,,1881,Exact,1881,lsidyv3a98f09a
14804644,|||,und,,"London; Andrews & Co. Durham : S. Tinsley & Co., 1879.","London; Andrews & Co. Durham : S. Tinsley & Co., 1879.",S. Tinsley & Co.,Named publisher or ambiguous,London; Andrews & Co. Durham,Multiple places,,,1879,Exact,1879,lsidyv349bb1a4
14804808,|||,und,,"pp. vi. 108. A. Constable & Co.: London, 1898.","pp. vi. 108. A. Constable & Co. : London, 1898.",London,Named publisher or ambiguous,pp. vi. 108. A. Constable & Co.,Multiple places,,,1898,Exact,1898,lsidyv3477a04b
14804980,|||,eng,,"London : Henry Colburn, 1843.","London : Henry Colburn, 1843.",Henry Colburn,Named publisher or ambiguous,London,Likely clean single place,Q84,,1843,Exact,1843,lsidyv3e610def
14805021,|||,und,,"pp. xi. 139. Oliphant, Anderson & Ferrier: Edinburgh & London, 1899.","pp. xi. 139. Oliphant, Anderson & Ferrier : Edinburgh & London, 1899.",Edinburgh & London,Named publisher or ambiguous,"pp. xi. 139. Oliphant, Anderson & Ferrier",Multiple places,,,1899,Exact,1899,lsidyv39452522
14805022,|||,und,,"London : Bell & Daldy, 1867.","London : Bell & Daldy, 1867.",Bell & Daldy,Named publisher or ambiguous,London,Likely clean single place,Q84,,1867,Exact,1867,lsidyv3a99067c
14805062,|||,eng,,"London : John Murray, 1822.","London : John Murray, 1822.",John Murray,Named publisher or ambiguous,London,Likely clean single place,Q84,,1822,Exact,1822,lsidyv3c5fb303 -- lsidyv3c5fdda5
14805090,|||,und,,"London : E. W. Allen, [1873.].","London : E. W. Allen, [1873.].",E. W. Allen,Named publisher or ambiguous,London,Likely clean single place,Q84,,1873,Supplied,1873,lsidyv3b456193
14805094,|||,und,,"Glasgow : W. R. M'Phun, 1831.","Glasgow : W. R. M'Phun, 1831.",W. R. M'Phun,Named publisher or ambiguous,Glasgow,Likely clean single place,Q4093,,1831,Exact,1831,lsidyv346c5fe6
14805111,|||,und,,"pp. vii. 99. Digby & Long: London, [1897.]","pp. vii. 99. Digby & Long : London, [1897.]",London,Named publisher or ambiguous,pp. vii. 99. Digby & Long,Multiple places,,,1897,Supplied,1897,lsidyv352bfa8e
14805125,|||,eng,,"London : Henry Colburn, 1845.","London : Henry Colburn, 1845.",Henry Colburn,Named publisher or ambiguous,London,Likely clean single place,Q84,,1845,Exact,1845,lsidyv3cdeef6a
14805130,|||,eng,,"Delhi : R. Williams, 1863.","Delhi : R. Williams, 1863.",R. Williams,Named publisher or ambiguous,Delhi,Likely clean single place,,,1863,Exact,1863,lsidyv3ca5b6d1
14805222,|||,und,,"London : Trübner & Co., 1877.","London : Trübner & Co., 1877.",Trübner & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1877,Exact,1877,lsidyv3479e530
14805225,|||,und,,"London : Edward Lathbury, 1724.","London : Edward Lathbury, 1724.",Edward Lathbury,Named publisher or ambiguous,London,Likely clean single place,Q84,,1724,Exact,1724,lsidyv3abe36e8
14805406,|||,und,,"London : A. Bettesworth; James MackEuen, 1722.","London : A. Bettesworth; James MackEuen, 1722.",A. Bettesworth; James MackEuen,Named publisher or ambiguous,London,Likely clean single place,Q84,,1722,Exact,1722,lsidyv33941032
14805428,|||,und,,"pp. x. 429. John Murray: London, 1894.","pp. x. 429. John Murray : London, 1894.",London,Named publisher or ambiguous,pp. x. 429. John Murray,Likely clean single place,,,1894,Exact,1894,lsidyv34950cfd
14805479,|||,und,,"London : J. Tuck & Co., 1867.","London : J. Tuck & Co., 1867.",J. Tuck & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1867,Exact,1867,lsidyv349b978e
14805503,|||,und,,"pp. vii. 147. Chatto & Windus: London, 1895.","pp. vii. 147. Chatto & Windus : London, 1895.",London,Named publisher or ambiguous,pp. vii. 147. Chatto & Windus,Multiple places,,,1895,Exact,1895,lsidyv34774ebd
14805504,|||,und,,"pp. x. 147. Chatto & Windus: London, 1896 [1895].","pp. x. 147. Chatto & Windus : London, 1896 [1895].",London,Named publisher or ambiguous,pp. x. 147. Chatto & Windus,Multiple places,,,1896,Supplied,1895,lsidyv34776844
14805559,|||,eng,,"London : Baillière & Co., 1881.","London : Baillière & Co., 1881.",Baillière & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1881,Exact,1881,lsidyv3ca649bf
14805610,|||,und,,"London; printed in Germany : H. J. Drane, [1888.].","London; printed in Germany : H. J. Drane, [1888.].",H. J. Drane,Named publisher or ambiguous,London; in Germany,Multiple places,,,1888,Supplied,1888,lsidyv3472ea5d
14805711,|||,und,,"London : Chatto & Windus, 1896.","London : Chatto & Windus, 1896.",Chatto & Windus,Named publisher or ambiguous,London,Likely clean single place,Q84,,1896,Exact,1896,lsidyv3a4a638a
14805862,|||,und,,"London : J. Murray, 1808.","London : J. Murray, 1808.",J. Murray,Named publisher or ambiguous,London,Likely clean single place,Q84,,1808,Exact,1808,lsidyv3a57f437
14805994,|||,und,,"London : T. Fisher Unwin, 1897.","London : T. Fisher Unwin, 1897.",T. Fisher Unwin,Named publisher or ambiguous,London,Likely clean single place,Q84,,1897,Exact,1897,lsidyv30316d1e
14806095,|||,und,,"London : John Cawthorn, 1814.","London : John Cawthorn, 1814.",John Cawthorn,Named publisher or ambiguous,London,Likely clean single place,Q84,,1814,Exact,1814,lsidyv34ebdcfe
14806149,|||,und,,"Philadelphia : E. H. Butler & Co., 1853.","Philadelphia : E. H. Butler & Co., 1853.",E. H. Butler & Co.,Named publisher or ambiguous,Philadelphia,Likely clean single place,,,1853,Exact,1853,lsidyv3a58ec2a
14806158,|||,und,,"London : Simpkin, Marshall & Co.; Pewtress & Co., 1876.","London : Simpkin, Marshall & Co.; Pewtress & Co., 1876.","Simpkin, Marshall & Co.; Pewtress & Co.",Named publisher or ambiguous,London,Likely clean single place,Q84,,1876,Exact,1876,lsidyv34747656
14806293,|||,und,,"London : Privately printed, 1889.","London : Privately printed, 1889.",Privately printed,Printer statement,London,Likely clean single place,Q84,,1889,Exact,1889,lsidyv345e6cf2
14806399,|||,und,,"London : Boosey & Co., [1895.].","London : Boosey & Co., [1895.].",Boosey & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1895,Supplied,1895,lsidyv3984fe47
14806421,|||,und,,"Glasgow : 29. William Mackenzie, [1866.].","Glasgow : 29. William Mackenzie, [1866.].",William Mackenzie,Named publisher or ambiguous,Glasgow,Likely clean single place,Q4093,,1866,Supplied,1866,lsidyv2af1a665
14806534,|||,und,,"London : Printed by the Composer, 1887.","London : Printed by the Composer, 1887.",Printed by the Composer,Printer statement,London,Likely clean single place,Q84,,1887,Exact,1887,lsidyv345fe3e2
14806546,|||,und,,"pp. 112. Roxburghe Press: London, 1895.","pp. 112. Roxburghe Press : London, 1895.",London,Named publisher or ambiguous,pp. 112. Roxburghe Press,Likely clean single place,,,1895,Exact,1895,lsidyv34941b33 -- lsidyv352befb7
14806755,|||,eng,,"New York ; London : Scientific Publishing Co., 1896.","New York; London : Scientific Publishing Co., 1896.",Scientific Publishing Co.,Named publisher or ambiguous,London & New York,Multiple places,,,1896,Exact,1896,lsidyv3cc4da96
14806958,|||,und,,"Calcutta : iii. D’Rozario & Co., 1855.","Calcutta : iii. D’Rozario & Co., 1855.",iii. D’Rozario & Co.,Named publisher or ambiguous,Calcutta,Likely clean single place,,,1855,Exact,1855,lsidyv3471c629
14807010,|||,eng,,"London : John Murray, 1856.","London : John Murray, 1856.",John Murray,Named publisher or ambiguous,London,Likely clean single place,Q84,,1856,Exact,1856,lsidyv3c6dd420
14807105,|||,und,,"London : T. Bosworth, 1875.","London : T. Bosworth, 1875.",T. Bosworth,Named publisher or ambiguous,London,Likely clean single place,Q84,,1875,Exact,1875,lsidyv3479da57
14807192,|||,und,,"London : Richard Phillips, 1807.","London : Richard Phillips, 1807.",Richard Phillips,Named publisher or ambiguous,London,Likely clean single place,Q84,,1807,Exact,1807,lsidyv34939ca9
14807197,|||,und,,"London : Richard Phillips, 1806.","London : Richard Phillips, 1806.",Richard Phillips,Named publisher or ambiguous,London,Likely clean single place,Q84,,1806,Exact,1806,lsidyv3493950e
14807213,|||,und,,"pp. viii. 134. Elliot Stock: London, 1899.","pp. viii. 134. Elliot Stock : London, 1899.",London,Named publisher or ambiguous,pp. viii. 134. Elliot Stock,Likely clean single place,,,1899,Exact,1899,lsidyv394528eb
14807242,|||,und,,"London; Nuremberg [printed] : Ernest Nister, [1889.].","London; Nuremberg [printed] : Ernest Nister, [1889.].",Ernest Nister,Named publisher or ambiguous,London; Nuremberg,Multiple places,,,1889,Supplied,1889,lsidyv347585ba
14807317,|||,und,,"London : Gilbert & Rivington, [1876.].","London : Gilbert & Rivington, [1876.].",Gilbert & Rivington,Named publisher or ambiguous,London,Likely clean single place,Q84,,1876,Supplied,1876,lsidyv39db3291
14807323,|||,eng,,"London : The Author, 1853.","London : The Author, 1853.",The Author,Author/self-publication statement,London,Likely clean single place,Q84,,1853,Exact,1853,lsidyv3c5905fd
14807330,|||,und,,"Crawford & M'Cabe, printers : Edinburgh, [1878].","Crawford & M'Cabe, printers : Edinburgh, [1878].",Crawford & M'Cabe,Printer statement,Edinburgh,Review: imprint statement,,,1878,Supplied,1878,lsidyv349b6af8
14807397,|||,und,,"pp. xv. 323. Skeffington & Son: London, 1896.","pp. xv. 323. Skeffington & Son : London, 1896.",London,Named publisher or ambiguous,pp. xv. 323. Skeffington & Son,Multiple places,,,1896,Exact,1896,lsidyv3496ad06
14807486,|||,und,,"London : Hatchards, 1876.","London : Hatchards, 1876.",Hatchards,Named publisher or ambiguous,London,Likely clean single place,Q84,,1876,Exact,1876,lsidyv34798632
14807574,|||,und,,"[London : C. E. Morland, 1895.].","[London : C. E. Morland, 1895.].",C. E. Morland,Named publisher or ambiguous,London,Likely clean single place,Q84,,1895,Exact,1895,lsidyv34ee45fd
14807637,|||,und,,"J. Fowler Salisbury, [ca. 1780-ca.1790].","J. Fowler Salisbury, [ca. 1780-ca.1790].",,Missing,"J. Fowler Salisbury, [ca. 1780-ca.",Review: comma-separated,,,1780,Exact,1790,lsidyv3abeb554
14807737,|||,und,,"Norwich : J. Payne, [1804?].","Norwich : J. Payne, [1804?].",J. Payne,Named publisher or ambiguous,Norwich,Likely clean single place,,,1804,Uncertain,1804,lsidyv346ae143
14807896,|||,und,,"London : Keating & Co., 1878.","London : Keating & Co., 1878.",Keating & Co.,Named publisher or ambiguous,London,Likely clean single place,Q84,,1878,Exact,1878,lsidyv34279014
14807910,|||,eng,,"Cambridge : Warwick & Co., 1842-1908.","Cambridge : Warwick & Co., 1842-1908.",Warwick & Co.,Named publisher or ambiguous,Cambridge,Likely clean single place,,1908,1842,Exact,1908,lsidyv3c1670b0 -- lsidyv3bdb941a -- lsidyv3c167c7d -- lsidyv3bdba8af
