Aleph system no.,Country code,Language code (008),Language code (041),Imprint,Imprint_clean,Publisher_clean,Publisher_role,Publication_place_final,Place_QA_status,Wikidata_QID_manual_sample,Year_end,Year_start,Year_status,Publication_year,DOM ID
14605616,|||,und,,"[London, 1862.]","[London, 1862.]",,Missing,London,Likely clean single place,Q84,,1862,Exact,1862,lsidyv30633105
14605621,|||,und,,"[Windsor,], 1872.","[Windsor, ], 1872.",,Missing,"Windsor, ]",Review: comma-separated,,,1872,Exact,1872,lsidyv3067c8f8
14605629,|||,und,,"London : B. McMillan, 1819.","London : B. McMillan, 1819.",B. McMillan,Named publisher or ambiguous,London,Likely clean single place,Q84,,1819,Exact,1819,lsidyv314e2e8a
14605639,|||,und,,"London : Printed for private circulation, 1869.","London : Printed for private circulation, 1869.",Printed for private circulation,Printer statement,London,Likely clean single place,Q84,,1869,Exact,1869,lsidyv3083e9e1
14605658,|||,und,,"London, [1814.]","London, [1814.]",,Missing,London,Likely clean single place,Q84,,1814,Supplied,1814,lsidyv32b5a831
14605665,|||,und,,"London, 1793.","London, 1793.",,Missing,London,Likely clean single place,Q84,,1793,Exact,1793,lsidyv314e5b7b
14605684,|||,und,,"[Hobart : M. Hornsby, 1868?].","[Hobart : M. Hornsby, 1868?].",M. Hornsby,Named publisher or ambiguous,Hobart,Likely clean single place,,,1868,Uncertain,1868,lsidyv32b5a798
14605687,|||,und,,"London, [1858.]","London, [1858.]",,Missing,London,Likely clean single place,Q84,,1858,Supplied,1858,lsidyv3074808c
14608190,|||,und,,"London : G. Kearsley, 1779.","London : G. Kearsley, 1779.",G. Kearsley,Named publisher or ambiguous,London,Likely clean single place,Q84,,1779,Exact,1779,lsidyv3162011b
14608203,|||,und,,"London : G. Kearsly, 1780.","London : G. Kearsly, 1780.",G. Kearsly,Named publisher or ambiguous,London,Likely clean single place,Q84,,1780,Exact,1780,lsidyv32b62ee9
14608205,|||,und,,"London : G. Kearsly, 1778.","London : G. Kearsly, 1778.",G. Kearsly,Named publisher or ambiguous,London,Likely clean single place,Q84,,1778,Exact,1778,lsidyv30949a17
14608206,|||,und,,"London : G. Kearsly, 1778.","London : G. Kearsly, 1778.",G. Kearsly,Named publisher or ambiguous,London,Likely clean single place,Q84,,1778,Exact,1778,lsidyv32b630cf
14608218,|||,und,,"London, 1814.","London, 1814.",,Missing,London,Likely clean single place,Q84,,1814,Exact,1814,lsidyv32b63d88
14608229,|||,und,,"London, 1703.","London, 1703.",,Missing,London,Likely clean single place,Q84,,1703,Exact,1703,lsidyv30a26759
14608230,|||,und,,"London, 1814.","London, 1814.",,Missing,London,Likely clean single place,Q84,,1814,Exact,1814,lsidyv309ac1e9
14608231,|||,und,,"London, 1794.","London, 1794.",,Missing,London,Likely clean single place,Q84,,1794,Exact,1794,lsidyv32b632f1
14608236,|||,und,,"London, 1794.","London, 1794.",,Missing,London,Likely clean single place,Q84,,1794,Exact,1794,lsidyv3099629e
14608243,|||,und,,"London : W. S. Fortey, [1892.].","London : W. S. Fortey, [1892.].",W. S. Fortey,Named publisher or ambiguous,London,Likely clean single place,Q84,,1892,Supplied,1892,lsidyv32b8c98b
14608254,|||,und,,"London, 1816.","London, 1816.",,Missing,London,Likely clean single place,Q84,,1816,Exact,1816,lsidyv315ece33
14608262,|||,und,,"London, 1794.","London, 1794.",,Missing,London,Likely clean single place,Q84,,1794,Exact,1794,lsidyv32b631c8
14608264,|||,und,,"Reykjavik, 1890.","Reykjavik, 1890.",,Missing,Reykjavik,Likely clean single place,,,1890,Exact,1890,lsidyv32b8c952
14608266,|||,und,,"London : Printed for the Author, 1661.","London : Printed for the Author, 1661.",Printed for the Author,Printer statement,London,Likely clean single place,Q84,,1661,Exact,1661,lsidyv3160f78e
14608284,|||,und,,"London : J. Barker, 1794.","London : J. Barker, 1794.",J. Barker,Named publisher or ambiguous,London,Likely clean single place,Q84,,1794,Exact,1794,lsidyv3098f4bb
14608286,|||,und,,"London, 1794.","London, 1794.",,Missing,London,Likely clean single place,Q84,,1794,Exact,1794,lsidyv315ab988
14608299,|||,und,,"London : J. Smith, 1821.","London : J. Smith, 1821.",J. Smith,Named publisher or ambiguous,London,Likely clean single place,Q84,,1821,Exact,1821,lsidyv33525f56
14608326,|||,und,,[1893.],[1893.],,Missing,,Missing,,,1893,Supplied,1893,lsidyv335042cc
14608337,|||,und,,"London, 1804.","London, 1804.",,Missing,London,Likely clean single place,Q84,,1804,Exact,1804,lsidyv3352a346
14608345,|||,und,,"London, 1779.","London, 1779.",,Missing,London,Likely clean single place,Q84,,1779,Exact,1779,lsidyv33503601
14608357,|||,und,,"London, 1788.","London, 1788.",,Missing,London,Likely clean single place,Q84,,1788,Exact,1788,lsidyv32c2a34b
14608369,|||,und,,"Edinburgh : E. & G. Goldsmid, 1887, 88.","Edinburgh : E. & G. Goldsmid, 1887, 88.",E. & G. Goldsmid,Named publisher or ambiguous,Edinburgh,Likely clean single place,Q23436,,1887,Exact,1887,lsidyv346031fa -- lsidyv33500098
14608377,|||,und,,"London, 1805.","London, 1805.",,Missing,London,Likely clean single place,Q84,,1805,Exact,1805,lsidyv32cdcf36
14608378,|||,und,,"London : J. E. Hawkins, 1887.","London : J. E. Hawkins, 1887.",J. E. Hawkins,Named publisher or ambiguous,London,Likely clean single place,Q84,,1887,Exact,1887,lsidyv334fff9f
14608417,|||,und,,"London : John Murray, 1815.","London : John Murray, 1815.",John Murray,Named publisher or ambiguous,London,Likely clean single place,Q84,,1815,Exact,1815,lsidyv33825398
14608427,|||,und,,"London : Simpkin, Marshall & Co., [1889.].","London : Simpkin, Marshall & Co., [1889.].","Simpkin, Marshall & Co.",Named publisher or ambiguous,London,Likely clean single place,Q84,,1889,Supplied,1889,lsidyv338333cb
14608442,|||,und,,"London : Humphrey Moseley, 1655.","London : Humphrey Moseley, 1655.",Humphrey Moseley,Named publisher or ambiguous,London,Likely clean single place,Q84,,1655,Exact,1655,lsidyv33536ed2
14608462,|||,und,,"John Hatchard & Son : London, [1820].","John Hatchard & Son : London, [1820].",London,Named publisher or ambiguous,John Hatchard & Son,Multiple places,,,1820,Supplied,1820,lsidyv3382ab22
14608505,|||,und,,"London, 1701.","London, 1701.",,Missing,London,Likely clean single place,Q84,,1701,Exact,1701,lsidyv335318b9
14608565,|||,und,,"London, [1853.]","London, [1853.]",,Missing,London,Likely clean single place,Q84,,1853,Supplied,1853,lsidyv33869e68
14608604,|||,und,,"London, 1846.","London, 1846.",,Missing,London,Likely clean single place,Q84,,1846,Exact,1846,lsidyv338531c5
14608646,|||,und,,"Nottingham : Burbage & Stretton, [1800?].","Nottingham : Burbage & Stretton, [1800?].",Burbage & Stretton,Named publisher or ambiguous,Nottingham,Likely clean single place,,,1800,Uncertain,1800,lsidyv338a9a9f
14608647,|||,und,,"London : G. Simson & W. White, 1596.","London : G. Simson & W. White, 1596.",G. Simson & W. White,Named publisher or ambiguous,London,Likely clean single place,Q84,,1596,Exact,1596,lsidyv338c91d5
14608674,|||,und,,"London, 1858.","London, 1858.",,Missing,London,Likely clean single place,Q84,,1858,Exact,1858,lsidyv33884e01
14608695,|||,und,,"London, [1862.]","London, [1862.]",,Missing,London,Likely clean single place,Q84,,1862,Supplied,1862,lsidyv338c964f
14608717,|||,und,,"Dublin, [1830?]","Dublin, [1830?]",,Missing,Dublin,Likely clean single place,Q1761,,1830,Uncertain,1830,lsidyv338850b3
14608720,|||,und,,"[Dublin?, 1796.]","[Dublin?, 1796.]",,Missing,Dublin?,Likely clean single place,,,1796,Exact,1796,lsidyv338cb052
14608732,|||,und,,"Malton : Printed for private distribution, 1828.","Malton : Printed for private distribution, 1828.",Printed for private distribution,Printer statement,Malton,Likely clean single place,,,1828,Exact,1828,lsidyv33875db6
14608769,|||,und,,"London : Printed for the Author, 1821.","London : Printed for the Author, 1821.",Printed for the Author,Printer statement,London,Likely clean single place,Q84,,1821,Exact,1821,lsidyv33905b37
14608771,|||,und,,"London, 1844.","London, 1844.",,Missing,London,Likely clean single place,Q84,,1844,Exact,1844,lsidyv338ded3d
14610148,|||,und,,"London : J. H. Burn, 1820.","London : J. H. Burn, 1820.",J. H. Burn,Named publisher or ambiguous,London,Likely clean single place,Q84,,1820,Exact,1820,lsidyv33956863
14610176,|||,und,,"London, 1827.","London, 1827.",,Missing,London,Likely clean single place,Q84,,1827,Exact,1827,lsidyv341ebdc2
14610185,|||,und,,"London, [1884-89.]","London, [1884-89.]",,Missing,"London, [1884-89.]",Review: comma-separated,,1889,1884,Supplied,1884,lsidyv3426f13f
14610197,|||,und,,"London, 1824.","London, 1824.",,Missing,London,Likely clean single place,Q84,,1824,Exact,1824,lsidyv34224c29
14610200,|||,und,,"London : Griffith, Farran and Co., [1886.]","London : Griffith, Farran and Co., [1886.]","Griffith, Farran and Co.",Named publisher or ambiguous,London,Likely clean single place,Q84,,1886,Supplied,1886,lsidyv345f532e -- lsidyv34277f20 -- lsidyv345f4f20 -- lsidyv345f540f
14610217,|||,und,,"London, 1837.","London, 1837.",,Missing,London,Likely clean single place,Q84,,1837,Exact,1837,lsidyv3393538d
14616526,|||,und,,"London : William Fearman, 1818.","London : William Fearman, 1818.",William Fearman,Named publisher or ambiguous,London,Likely clean single place,Q84,,1818,Exact,1818,lsidyv34ebd6a7
14616527,|||,und,,"London : John Lowndes, 1821.","London : John Lowndes, 1821.",John Lowndes,Named publisher or ambiguous,London,Likely clean single place,Q84,,1821,Exact,1821,lsidyv3493685d
14616529,|||,und,,"Edinburgh : Privately printed, 1860.","Edinburgh : Privately printed, 1860.",Privately printed,Printer statement,Edinburgh,Likely clean single place,Q23436,,1860,Exact,1860,lsidyv3492e885
14616543,|||,und,,"London : W. Bates, [1805?].","London : W. Bates, [1805?].",W. Bates,Named publisher or ambiguous,London,Likely clean single place,Q84,,1805,Uncertain,1805,lsidyv34938e99
14616545,|||,und,,"London : E. Macleish, [1813?].","London : E. Macleish, [1813?].",E. Macleish,Named publisher or ambiguous,London,Likely clean single place,Q84,,1813,Uncertain,1813,lsidyv34938faa
14616546,|||,und,,"London : John Miller, 1817.","London : John Miller, 1817.",John Miller,Named publisher or ambiguous,London,Likely clean single place,Q84,,1817,Exact,1817,lsidyv34ebd7d0
